Points,Domain
3137,https://hacks.mozilla.org/
3117,https://blog.cloudflare.com/
2508,https://stripe.com/blog
1977,https://rachelbythebay.com/w/
1929,https://jvns.ca/
1513,https://blog.rust-lang.org/
1366,https://blog.acolyer.org/
1248,https://www.cockroachlabs.com/blog/
1172,https://security.googleblog.com/
1133,https://blog.golang.org/
1059,https://medium.com/netflix-techblog
1051,https://danluu.com/
1049,https://drewdevault.com/
1023,https://www.mattcutts.com/blog/
822,http://www.catonmat.net/blog/
800,https://aws.amazon.com/blogs/aws/
776,https://zachholman.com/
776,https://blogs.dropbox.com/tech/
728,https://engineering.riotgames.com/
728,https://steve-yegge.blogspot.com/
700,http://raganwald.com/
687,https://martinfowler.com/
684,http://www.brendangregg.com/blog/
684,http://nullprogram.com/
663,http://norvig.com/
622,https://slack.engineering/
604,https://engineering.instagram.com/
604,https://githubengineering.com/
580,https://hookrace.net/
528,https://www.joelonsoftware.com/
522,http://mattwarren.org/
517,https://blog.cryptographyengineering.com/
462,http://lucumr.pocoo.org/
461,http://dragan.rocks
452,https://blogs.nvidia.com/
389,https://blog.twitter.com/engineering
351,https://blog.jessfraz.com/
332,http://facebook.github.io/react-native/blog/
332,https://facebook.github.io/react/blog/
301,https://codeblog.jonskeet.uk/
297,https://jeremykun.com/
296,https://blog.jooq.org/
296,https://code.facebook.com/posts/
279,https://samsaffron.com/
277,http://blog.joda.org/
271,https://idea.popcount.org/
256,https://blogs.msdn.microsoft.com/dotnet/
239,https://dave.cheney.net/
235,https://software.intel.com/en-us/blogs/
234,https://engineering.tumblr.com/
234,http://blog.atom.io/
230,https://crystal-lang.org/
224,http://eng.uber.com/
213,https://blog.graph.cool/
208,https://os.phil-opp.com/
198,https://allegro.tech
195,http://www.bfilipek.com/
190,https://medium.com/javascript-scene/
187,http://prog21.dadgum.com/
180,https://blog.nelhage.com/
177,http://lambda-the-ultimate.org/
167,https://open.blogs.nytimes.com
167,https://benchling.engineering/
161,http://teropa.info/
155,https://adambard.com/blog/
152,http://dtrace.org/blogs/bmc/
152,https://blog.jetbrains.com/kotlin/
147,http://blog.fogus.me/
143,https://databricks.com/blog
113,https://www.chenhuijing.com/blog/
104,https://blog.algolia.com/
97,https://eng.lyft.com/
95,https://blogs.msdn.microsoft.com/oldnewthing/
93,http://blog.robertelder.org/
93,https://ipfs.io/blog/
85,https://robots.thoughtbot.com/
83,https://engineering.linkedin.com/blog
80,https://blog.getbootstrap.com/
76,https://blog.discordapp.com/
75,https://www.digitalocean.com/community/tutorials
73,https://medium.com/walmartlabs/
69,http://engineering.khanacademy.org
68,https://crypt.codemancers.com/
67,http://www.windytan.com/
66,https://www.igvita.com/
53,http://www.yegor256.com/
52,http://preshing.com/
45,https://www.pubnub.com/blog/
45,https://blogs.windows.com/msedgedev/
44,http://www.red-lang.org
42,https://labs.spotify.com/
40,https://philipwalton.com/
38,https://developer.okta.com/blog/
33,https://blog.codinghorror.com/
32,https://swizec.com/blog/
32,http://blog.cleancoder.com/
30,https://evilmartians.com/chronicles/
30,https://lg.io/
28,https://backtrace.io/blog/
26,https://meowni.ca/
23,https://blog.codeship.com/
19,https://postmarkapp.com/blog
17,https://sitepoint.com
17,https://realpython.com/blog/
16,https://kinvolk.io/blog/
16,https://making.pusher.com/
16,http://tech.adroll.com/blog/
14,https://blogs.msdn.microsoft.com/pythonengineering/
14,https://medium.com/airbnb-engineering
14,https://engineering.shopify.com
13,http://artsy.github.io/
12,https://benmccormick.org/
12,https://jobandtalent.engineering/
11,https://haptik.ai/tech/
11,https://blog.sqreen.io/
11,https://lambda.grofers.com/
11,https://medium.com/strava-engineering/
11,https://engineering.vena.io/
10,http://www.johnwittenauer.net/
10,https://www.pluralsight.com/guides
10,https://developers.soundcloud.com/blog/
10,http://engineering.curalate.com/
10,https://www.amitmerchant.com/
10,https://www.thumbtack.com/engineering/
10,https://oleb.net/blog/
9,https://engineeringblog.yelp.com/
9,https://ericlippert.com/
9,http://tech.trivago.com/
9,https://tech.instacart.com/
9,https://engineering.gosquared.com/
9,https://engineering.mongodb.com/
9,https://heap.engineering/
9,https://useyourloaf.com/
9,https://drivy.engineering/
8,http://mherman.org/
8,https://www.confluent.io/blog
7,https://wyeworks.com/blog/
7,https://tech.scrunch.com/blog/
6,https://tomassetti.me/
6,https://bytes.babbel.com/en/
6,https://davidwalsh.name/
6,https://engineering.squarespace.com/
6,https://codewithstyle.info/
6,https://www.thoughtworks.com/insights
6,https://developers.livechatinc.com/blog/
6,https://advancedweb.hu/
5,https://blog.sketchapp.com/
5,https://code.blender.org/
5,https://infrequently.org/
5,https://vladmihalcea.com/
5,https://engineering.foursquare.com/
5,https://joearms.github.io/
5,http://blog.klipse.tech/
4,https://loige.co/
4,https://blog.risingstack.com/
4,http://engineering.grab.com/
4,https://nickdesaulniers.github.io/
4,https://kev.inburke.com/
3,http://huonw.github.io/
3,https://wecode.wepay.com/
3,https://techblog.commercetools.com/
3,https://joshtronic.com/
3,https://www.raywenderlich.com/
3,https://medium.com/zendesk-engineering
2,https://buildingvts.com/
2,https://devs.mailchimp.com/blog/
2,https://medium.com/myntra-engineering
2,https://engineering.semantics3.com
2,https://www.codelitt.com/blog/
2,http://aakinshin.net/blog/
2,https://idiosyncratic-ruby.com/
2,https://www.zillow.com/engineering/
2,https://bjornjohansen.no/
2,https://medium.com/build-addepar
2,https://www.paypal-engineering.com/
2,http://upcoder.com
2,https://blog.evantahler.com/
2,https://8thlight.com/blog/
2,https://blog.octo.com/en/
1,https://medium.com/@kirill_shevch
1,http://rhodesmill.org/brandon/
1,https://www.zynga.com/blogs/engineering
1,https://build.affinity.co/
1,https://medium.com/@elbrujohalcon
1,https://eviltrout.com/
1,https://developers.500px.com/
1,http://code.hootsuite.com/
1,https://tympanus.net/codrops/
1,https://www.wefearchange.org/
1,http://codefx.org
1,https://techblog.appnexus.com/
1,https://webuild.envato.com/
1,https://blog.bramp.net/
1,https://blog.fedecarg.com/
1,https://deezer.io/
1,https://glebbahmutov.com/blog/
1,http://mishadoff.com/
1,https://tech.ticketmaster.com/
1,http://engineering.remind.com/
1,http://blog.rtwilson.com/
1,https://blog.chef.io
1,http://akaptur.com/
1,http://iansommerville.com/systems-software-and-technology/
0,http://petersteinberger.com/
0,http://engineering.invisionapp.com/
0,https://www.future-processing.pl/technical-blog/
0,https://nordicapis.com/blog/
0,https://reactjsnews.com
0,https://www.paperlesspost.com/blog/teams/tech/
0,https://www.ctl.io/developers/blog
0,https://enoent.fr
0,https://www.discovermeteor.com/blog
0,https://about.zoosk.com/en/engineering-blog/
0,https://bandcamptech.wordpress.com/
0,http://engineering.cerner.com/
0,https://blogs.janestreet.com/category/ocaml/
0,http://blog.edankwan.com/
0,http://www.ebaytechblog.com/
0,https://blog.blakeerickson.com/
0,https://medium.com/prezi-engineering
0,http://tech.wonga.com/
0,http://www.evanmiller.org/
0,https://www.wix.engineering/
0,http://engineering.hackerearth.com/
0,http://blog.socialcast.com/engineering/
0,https://tech.small-improvements.com/
0,https://developer.zendesk.com/blog
0,http://codebeforethehorse.tumblr.com/
0,https://blog.scrapinghub.com/
0,https://android-developers.blogspot.com/
0,http://www.rudyhuyn.com/blog/
0,http://engineering.hoteltonight.com/
0,https://quickbooks-engineering.intuit.com/
0,http://engineering.dailymotion.com/
0,https://www.madetech.com/blog
0,http://blog.sensible.io/
0,https://blog.moove-it.com/
0,http://engineroom.trackmaven.com/
0,https://johnresig.com/category/blog/
0,http://ocramius.github.io/
0,http://regulargeek.com/
0,http://engineering.vinted.com/
0,https://www.erlang-solutions.com/blog.html
0,https://blog.chaps.io/
0,http://code.flickr.net/
0,https://yahooeng.tumblr.com/
0,https://www.mikeash.com/pyblog/
0,https://www.codementor.io/tutorial
0,http://blablatech.com/blog/
0,https://ruslanspivak.com/
0,https://blog.stridenyc.com/
0,http://engineering.opensooq.com/
0,https://engineering.intercom.io/
0,https://adzerk.com/tech/
0,https://collectiveidea.com/blog
0,http://www.gajotres.net/
0,https://murze.be/
0,https://ivanursul.com/
0,https://www.viget.com/articles/category/code
0,http://word.bitly.com/
0,http://tech.transferwise.com/
0,https://auth0.com/blog/
0,http://tech.wimdu.com/
0,http://tech.finn.no/
0,https://www.justinweiss.com/articles/archives/
0,http://tldr.huddle.com/
0,https://zapier.com/engineering/
0,http://blog.honeybadger.io/
0,http://blog.thislongrun.com/
0,http://engblog.polyvore.com/
0,http://sudhagar.com/
0,https://www.raizlabs.com/dev/
0,http://hungrygeek.holidayextras.co.uk/
0,http://engineering.harrys.com/
0,https://www.periscopedata.com/blog
0,https://medium.com/bbc-design-engineering/
0,https://engineering.zomato.com/
0,https://engineering.surveymonkey.com/
0,http://engineering.ifttt.com/
0,https://blog.heroku.com/engineering
0,http://eli.thegreenplace.net/
0,http://blog.apps.npr.org/
0,https://www.kickstarter.com/backing-and-hacking
0,https://devblog.songkick.com/
0,https://tech.lendinghome.com/
0,http://www.paulgraham.com/articles.html
0,https://nickcraver.com/blog/
0,https://convox.com/blog
0,https://blog.imgur.com/category/eng/
0,http://www.schibsted.pl/blog/
0,http://www.datchley.name/
0,http://dtrace.org/blogs/ahl/
0,https://grafana.com/blog/
0,http://engineering.moneybird.com/
0,http://lifepluslinux.blogspot.in/
0,https://maryrosecook.com/blog/
0,https://www.codeschool.com/blog/categories/development/
0,http://blog.reverberate.org/
0,http://www.boxever.com/blog/
0,https://developer.salesforce.com/blogs/engineering/
0,https://medium.com/unexpected-token
0,http://tech.taskrabbit.com/
0,https://tech.showmax.com
0,https://stackoverflow.blog/engineering/
0,https://devdactic.com/devblog/
0,http://semaphoreci.com/blog/tags/engineering.html
0,http://codebetter.com/
0,http://ggajos.com/
0,https://matt.aimonetti.net/
0,http://development.wombatsecurity.com/
0,http://rockthecode.io/
0,https://www.twilio.com/engineering/
0,https://blog.clevertap.com/category/engineering/
0,https://ariya.io/
0,https://engineering.universe.com
0,http://engineering.tripadvisor.com/
0,https://blogs.msdn.com/b/abhinaba/
0,http://engineering.bloomreach.com/
0,http://engineering.speedledger.com/
0,https://domenicoluciani.com
0,http://vanillajava.blogspot.com/
0,https://laravel-news.com/blog/
0,https://medium.com/@WoloxEngineering/
0,https://www.sharethis.com/category/engineering/
0,https://www.drivenbycode.com/
0,http://engineering.blogfoster.com/
0,http://engineering.monsanto.com/
0,https://www.elastic.co/blog/category/engineering
0,https://research.facebook.com/blog/ai/
0,https://snook.ca/
0,https://devblog.kogan.com/
0,http://www.theoculists.com/
0,http://piotrpasich.com/
0,http://www.2ality.com/
0,http://tech.findmypast.com/
0,http://antirez.com/latest/0
0,https://blog.developer.bazaarvoice.com/
0,http://engineering.brandwatch.com/
0,https://tech.jet.com/
0,https://snyk.io/blog
0,http://tech.gc.com/
0,http://www.nikola-breznjak.com/blog/
0,https://blog.twitch.tv/tagged/engineering
0,http://cloudengineering.autodesk.com/blog/
0,https://deferpanic.com/blog/
0,https://up.smartrecruiters.com
0,http://www.eharmony.com/engineering/
0,https://engineering.quora.com/
0,https://www.rosehosting.com/blog/
0,http://intentmedia.com/blog/
0,https://blog.docker.com/category/engineering/
0,http://blog.claymcleod.io/
0,https://dotdev.co
0,https://engineering.linode.com/
0,http://coderoncode.com/
0,https://www.benefitfocus.com/blogs/design-engineering
0,http://evanhahn.com/
0,http://yifan.lu/
0,https://www.goinggo.net/
0,https://techblog.expedia.com/
0,http://hyegar.com/archive/
0,https://corner.squareup.com/
0,https://clusterhq.com/blog/
0,http://research.baidu.com/category/baidutechblog/baidu-research-technology/
0,https://blog.versioneye.com/
0,http://www.vertabelo.com/blog
0,http://engineering.vine.co/
0,https://tech.geoblink.com
0,http://tech.gilt.com
0,http://inaka.net/blog/
0,https://thatthinginswift.com/
0,http://blog.8thcolor.com/
0,https://medium.com/shyp-engineering
0,https://lab.getbase.com/category/engineering/
0,http://code.dblock.org/
0,https://blog.booking.com/
0,https://research.googleblog.com/
0,https://www.novoda.com/blog/
0,http://making.fiftythree.com/
0,http://jlongster.com/archive
0,http://tenderlovemaking.com/
0,https://blog.cloudera.com/
0,http://www.thecodedself.com
0,https://planet.mozilla.org/ateam/
0,http://patshaughnessy.net/
0,http://deanhume.com/
0,https://engineering.opendns.com/
0,http://blog.lerner.co.il/
0,https://ariejan.net/
0,http://tech.opentable.com/
0,http://masnun.com/
0,http://www.stackabuse.com/
0,http://bad-concurrency.blogspot.com/
0,http://engineering.panoramaed.com/
0,http://adventuresinautomation.blogspot.com/
0,http://engineering.laterooms.com/
0,https://zolmeister.com/
0,http://www.evanjones.ca/chronological.html
0,http://engineering.bittorrent.com/
0,https://www.simple.com/engineering
0,https://upday.github.io/
0,http://deborah-digges.github.io/
0,https://ponyfoo.com/
0,https://idontgetoutmuch.wordpress.com/
0,https://blog.andrewray.me/
0,https://www.paulirish.com/
0,https://engineering.canva.com
0,http://engineering.chartbeat.com/
0,https://www.eventbrite.com/engineering/
0,http://blog.takipi.com/
0,https://planet.mozilla.org/releng/
0,https://blog.evernote.com/tech/
0,https://mirocupak.com/
0,https://engineering.pinterest.com/blog
0,https://code.oursky.com/
0,https://blog.engineyard.com/
0,https://medium.com/retailmenot-engineering/
0,https://engineering.upgrad.com
0,https://jtreminio.com
0,http://elegantcode.com/
0,https://addyosmani.com/blog/
0,http://rea.tech/engineering/
0,http://techblog.thescore.com/
0,https://airtame.engineering
0,https://engineering.fundingcircle.com/
0,http://blog.faraday.io/
0,http://blog.pamelafox.org/
