Points,URL
357,https://stripe.com/blog/operating-kubernetes
355,https://evilmartians.com/chronicles/evil-front-part-1
352,https://blog.cloudflare.com/ssdp-100gbps/
351,https://stripe.com/blog/rate-limiters
350,https://research.googleblog.com/2017/06/supercharge-your-computer-vision-models.html
349,https://blog.nelhage.com/2016/12/how-i-test/
337,https://blog.discordapp.com/how-discord-indexes-billions-of-messages-e3d5e9be866f
330,https://www.mattcutts.com/blog/join-the-us-digital-service/
327,https://blog.cloudflare.com/introducing-cloudflare-workers/
325,https://research.googleblog.com/2017/03/an-upgrade-to-syntaxnet-new-models-and.html
324,http://nullprogram.com/blog/2017/08/20/
323,https://security.googleblog.com/2017/01/the-foundation-of-more-secure-web.html
322,https://danluu.com/learning-to-program/
320,https://blogs.msdn.microsoft.com/dotnet/2017/03/09/new-features-in-c-7-0/
319,https://martinfowler.com/articles/201708-tw-sale.html
318,https://blog.rust-lang.org/2017/07/20/Rust-1.19.html
315,http://mishadoff.com/blog/clojure-design-patterns/
310,https://aws.amazon.com/blogs/aws/introducing-amazon-appsync/
310,https://blogs.msdn.microsoft.com/dotnet/2017/02/01/the-net-language-strategy/
306,https://blog.codinghorror.com/hacker-hack-thyself/
305,https://blog.cloudflare.com/introducing-cloudflare-stream/
305,https://ipfs.io/ipfs/QmfN5DojVnEsf1Une3DFwfUiFpfWnQf31f61qgybiXVeQE/blog/spheres-and-points/
305,https://code.facebook.com/posts/1362748677097871/relay-modern-simpler-faster-more-extensible/
304,https://blog.jessfraz.com/post/home-lab-is-the-dopest-lab/
303,https://blog.discordapp.com/how-discord-resizes-150-million-images-every-day-with-go-and-c-c9e98731c65d
303,http://nullprogram.com/blog/2017/10/06/
301,https://blog.cloudflare.com/the-languages-which-almost-became-css/?f
300,https://danluu.com/branch-prediction/
300,https://danluu.com/why-ecc/
299,https://blogs.windows.com/msedgedev/2017/03/08/scrolling-on-the-web/
296,https://tomassetti.me/introduction-to-webassembly/
293,http://www.evanmiller.org/a-review-of-perl-6.html
292,https://research.googleblog.com/2017/08/making-visible-watermarks-more-effective.html
290,https://research.googleblog.com/2017/12/tacotron-2-generating-human-like-speech.html
287,https://blog.cloudflare.com/quantifying-the-impact-of-cloudbleed/
287,https://aws.amazon.com/blogs/aws/new-network-load-balancer-effortless-scaling-to-millions-of-requests-per-second/
287,http://mattwarren.org/2017/05/19/Adding-a-new-Bytecode-Instruction-to-the-CLR/
286,https://research.googleblog.com/2017/04/photoscan-taking-glare-free-pictures-of.html
285,https://engineering.shopify.com/235340559-bootsnap-optimizing-ruby-app-boot-time
283,https://code.facebook.com/posts/1978007565818999/a-novel-approach-to-neural-machine-translation/
282,https://blog.filippo.io/rustgo/
282,https://snyk.io/blog/mongodb-hack-and-secure-defaults/
281,https://blogs.msdn.microsoft.com/dotnet/2017/08/14/announcing-net-core-2-0/
280,https://research.googleblog.com/2017/08/transformer-novel-neural-network.html
278,https://www.confluent.io/blog/ksql-open-source-streaming-sql-for-apache-kafka/
276,https://danluu.com/teach-debugging/
276,http://blog.atom.io/2017/05/16/git-and-github-integration-comes-to-atom.html
276,http://multithreaded.stitchfix.com/blog/2017/10/18/stop-using-word2vec/
276,https://martinfowler.com/articles/201701-event-driven.html
274,https://aws.amazon.com/blogs/aws/launch-presenting-amazon-sumerian/
272,https://blog.cloudflare.com/go-dont-collect-my-garbage/
267,http://www.brendangregg.com/blog/2017-11-13/brilliant-jerks.html
265,https://blog.rust-lang.org/2017/10/12/Rust-1.21.html
265,https://blogs.msdn.microsoft.com/dotnet/2017/02/13/happy-15th-birthday-net/
264,https://drewdevault.com/2017/09/13/Analyzing-HN.html
263,http://nullprogram.com/blog/2017/06/15/
261,https://githubengineering.com/soft-u2f/
259,https://blog.acolyer.org/2017/08/15/writing-parsers-like-it-is-2017/
259,https://www.confluent.io/blog/exactly-once-semantics-are-possible-heres-how-apache-kafka-does-it/
258,https://blog.codinghorror.com/an-inferno-on-the-head-of-a-pin/
258,https://engineering.instagram.com/dismissing-python-garbage-collection-at-instagram-4dca40b29172
256,https://jvns.ca/blog/2017/07/05/linux-tracing-systems/
254,https://blogs.msdn.microsoft.com/dotnet/2017/06/07/performance-improvements-in-net-core/
253,https://tomassetti.me/antlr-mega-tutorial
251,https://open.blogs.nytimes.com/2017/01/10/https-on-nytimes-com/
249,http://www.brendangregg.com/blog/2017-02-05/file-system-flame-graph.html
246,https://blogs.msdn.microsoft.com/oldnewthing/20091123-00/?p=15943
246,https://crystal-lang.org/2017/10/27/diploid-and-crystal.html
246,https://blogs.msdn.microsoft.com/oldnewthing/20080324-00/?p=23033
245,https://aphyr.com/tags/Clojure-from-the-ground-up
245,https://blogs.msdn.microsoft.com/oldnewthing/20170208-00/?p=95395
242,https://jvns.ca/blog/2017/11/27/rust-ref/
241,https://dave.cheney.net/2017/08/21/the-here-is-key
240,https://blog.acolyer.org/2017/11/02/my-vm-is-lighter-and-safer-than-your-container/
240,https://drewdevault.com/2017/03/15/How-I-learned-to-stop-worrying-and-love-C.html
239,https://jvns.ca/blog/2017/11/20/groups/
235,https://blog.codeship.com/improving-ruby-performance-with-rust/
233,https://zapier.com/engineering/startup-cto/
229,http://mattwarren.org/2017/03/23/Hitchhikers-Guide-to-the-CoreCLR-Source-Code/
228,https://facebook.github.io/react/blog/2017/05/18/whats-new-in-create-react-app.html
228,http://eli.thegreenplace.net/2017/clojure-the-perfect-language-to-expand-your-brain/
225,https://spin.atomicobject.com/2017/03/07/attitudes-maintainable-code/
224,http://blog.klipse.tech/javascript/2017/02/08/tiny-compiler-intro.html?tiny
221,https://security.googleblog.com/2017/10/behind-masq-yet-more-dns-and-dhcp.html
221,http://prog21.dadgum.com/221.html
219,http://matt.might.net/articles/shell-scripts-for-passive-voice-weasel-words-duplicates/
216,http://www.mattwarren.org/2017/12/19/Open-Source-.Net-3-years-later
215,http://nullprogram.com/blog/2017/03/30/
212,http://blog.atom.io/2017/04/18/improving-startup-time.html
212,https://blog.jessfraz.com/post/ultimate-linux-on-the-desktop/
211,https://drivy.engineering/designing-state-machines/
211,https://blogs.windows.com/msedgedev/2017/04/20/improved-javascript-performance-webassembly-shared-memory/#LhwGh0LB9MRs3RHG.97
209,https://research.googleblog.com/2017/01/the-google-brain-team-looking-back-on.html
208,https://aphyr.com/posts/345-kerbal-space-oddities
208,https://realm.io/news/GOTO-Alex-Dima-Visual_Studio-Code-JavaScript-Typescript/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+realmio+%28Realm+News%29
206,http://dragan.rocks/articles/17/Clojure-Linear-Algebra-Refresher-Eigenvalues-and-Eigenvectors
206,http://www.wilfred.me.uk/blog/2017/01/11/announcing-remacs-porting-emacs-to-rust/
204,https://blog.evernote.com/tech/2017/02/08/part-1-evernote-service-options-migrate-google-cloud-platform-gcp/
203,https://facebook.github.io/react/blog/2017/07/26/error-handling-in-react-16.html
202,https://blogs.windows.com/msedgedev/2017/04/19/modernizing-dom-tree-microsoft-edge/
202,http://blog.reverberate.org/2016/11/07/introducing-bloaty-mcbloatface.html
202,https://engineeringblog.yelp.com/2017/05/introducing-yelps-local-graph.html
200,http://nullprogram.com/blog/2015/05/15/
199,https://dave.cheney.net/2017/11/30/never-edit-a-method-always-rewrite-it
198,https://developer.ibm.com/dwblog/2017/nfc-ios-reading-nfc-tags/
197,https://slack.engineering/search-at-slack-431f8c80619e#.cqkhzbv5d
197,http://blog.robertelder.org/diff-algorithm/
195,https://codeblog.jonskeet.uk/2017/04/23/all-about-java-util-date/
193,https://blog.filippo.io/reproducing-go-binaries-byte-by-byte/
192,https://drewdevault.com/2017/06/10/Introduction-to-Wayland.html
192,http://blog.atom.io/2017/10/12/atoms-new-buffer-implementation.html
191,https://githubengineering.com/dns-infrastructure-at-github/
189,https://dave.cheney.net/2017/04/26/understand-go-pointers-in-less-than-800-words-or-your-money-back
188,https://blogs.nvidia.com/blog/2017/12/22/nvidia-ruler/
188,http://www.red-lang.org/2017/12/leaping-into-future-red-goes-blockchain.html
188,http://nullprogram.com/blog/2017/07/02/
185,https://drewdevault.com/2017/10/26/Fuck-you-nvidia.html
184,https://blog.acolyer.org/2017/06/14/system-programming-in-rust-beyond-safety/
183,https://blog.filippo.io/we-need-to-talk-about-session-tickets/
183,https://blogs.msdn.microsoft.com/dotnet/2017/03/07/announcing-f-4-1-and-the-visual-f-tools-for-visual-studio-2017/
183,https://os.phil-opp.com/handling-exceptions.html
183,https://blog.filippo.io/finding-ticketbleed/
182,https://codeascraft.com/2017/01/31/how-etsy-manages-https-and-ssl-certificates-for-custom-domains-on-pattern/
182,https://www.cockroachlabs.com/blog/limits-of-the-cap-theorem/
181,http://blog.fogus.me/2017/07/20/pascal-at-apple/
180,http://www.mattwarren.org/2016/12/12/Research-papers-in-the-.NET-source/
179,https://blogs.msdn.microsoft.com/dotnet/2017/01/19/net-core-image-processing/
179,https://blog.acolyer.org/2016/04/26/the-linux-scheduler-a-decade-of-wasted-cores/
179,https://blog.cryptographyengineering.com/2017/03/05/secure-computing-for-journalists/
178,https://medium.com/@NetflixTechBlog/developer-experience-lessons-operating-a-serverless-like-platform-at-netflix-part-ii-63a376c28228
177,http://nullprogram.com/blog/2009/06/23/
177,https://yurichev.com/blog/minesweeper/
176,https://githubengineering.com/mysql-testing-automation-at-github/
176,https://zapier.com/engineering/remote-dev-tools/
176,https://eng.lyft.com/envoy-7-months-later-41986c2fd443
175,https://medium.com/airbnb-engineering/tracking-the-money-scaling-financial-reporting-at-airbnb-6d742b80f040#.alfxjkhrn
170,https://snyk.io/blog/known-vulnerabilities-in-javascript/
170,http://mattwarren.org/2017/06/15/How-the-.NET-Rutime-loads-a-Type/
170,https://jvns.ca/teach-tech-with-cartoons/
169,https://blog.acolyer.org/2017/05/11/understanding-deep-learning-requires-re-thinking-generalization/
168,http://www.brendangregg.com/blog/2017-05-16/working-at-netflix-2017.html
168,https://blog.jetbrains.com/kotlin/2017/03/kotlin-1-1/
167,https://security.googleblog.com/2017/01/security-through-transparency.html
167,https://blogs.msdn.microsoft.com/oldnewthing/20170719-00/?p=96645
167,https://blog.acolyer.org/2017/09/18/bringing-the-web-up-to-speed-with-webassembly/
165,https://www.cockroachlabs.com/blog/cockroachdb-1dot1/
163,https://jvns.ca/blog/2017/12/17/how-do-ruby---python-profilers-work-/
163,http://eli.thegreenplace.net/2017/reducers-transducers-and-coreasync-in-clojure/
163,http://www.johnwittenauer.net/how-to-learn-hadoop-for-free/
160,https://idea.popcount.org/2017-02-20-epoll-is-fundamentally-broken-12/
159,https://blog.jetbrains.com/kotlin/2017/04/kotlinnative-tech-preview-kotlin-without-a-vm/
158,http://lea.verou.me/2017/05/introducing-mavo-create-web-apps-entirely-by-writing-html/
158,https://danluu.com/filesystem-errors/
157,https://danluu.com/keyboard-v-mouse/
156,https://danluu.com/sattolo/
156,https://blog.acolyer.org/2017/05/30/mosaic-processing-a-trillion-edge-graph-on-a-single-machine/
155,http://www.brendangregg.com/blog/2017-11-29/aws-ec2-virtualization-2017.html
154,http://blog.atom.io/2017/06/22/a-new-approach-to-text-rendering.html
154,https://www.cockroachlabs.com/blog/how-were-building-a-business-to-last/
154,https://slack.engineering/growing-pains-migrating-slacks-desktop-app-to-browserview-2759690d9c7b
153,https://www.cockroachlabs.com/blog/gs-response/
153,https://idea.popcount.org/2013-07-24-ir-is-better-than-assembly/
152,http://lambda-the-ultimate.org/node/5452
151,https://tomassetti.me/guide-parsing-algorithms-terminology/
150,https://drewdevault.com/2017/10/09/Future-of-sway.html
150,https://blogs.dropbox.com/tech/2017/02/meet-securitybot-open-sourcing-automated-security-at-scale/
150,https://blog.jetbrains.com/kotlin/2017/01/kotlin-1-1-whats-coming-in-the-standard-library/
149,https://dave.cheney.net/2017/12/04/what-have-we-learned-from-the-pdp-11
148,https://blogs.msdn.microsoft.com/dotnet/2017/03/07/announcing-net-core-tools-1-0/
147,http://www.mattwarren.org/2017/10/19/DotNetAnywhere-an-Alternative-.NET-Runtime/
146,https://engineering.tumblr.com/post/165261504692/flow-and-typescript
146,https://medium.com/netflix-techblog/serving-100-gbps-from-an-open-connect-appliance-cdb51dda3b99
144,https://eng.lyft.com/announcing-cni-ipvlan-vpc-k8s-ipvlan-overlay-free-kubernetes-networking-in-aws-95191201476e
143,https://blog.sqreen.io/optimize-your-node-app-by-simply-upgrading-node-js/
142,http://dragan.rocks/articles/17/Clojure-Linear-Algebra-Refresher-Vector-Spaces
142,https://blog.acolyer.org/2017/09/19/to-type-or-not-to-type-quantifying-detectable-bugs-in-javascript/
139,https://dotdev.co/voten-public-beta/
139,https://kev.inburke.com/kevin/go-web-development/?hn
139,https://blog.cryptographyengineering.com/2017/10/23/attack-of-the-week-duhk/
139,https://blog.getbootstrap.com/2017/10/19/bootstrap-4-beta-2/
138,http://blog.atom.io/2017/09/12/atom-1-20.html
138,https://blog.jetbrains.com/kotlin/2017/11/kotlin-1-2-released/
137,https://blog.cryptographyengineering.com/2012/01/02/very-casual-introduction-to-fully/
136,https://www.cockroachlabs.com/blog/local-and-distributed-processing-in-cockroachdb/#
135,https://martinfowler.com/eaaDev/uiArchs.html
135,https://labs.spotify.com/2017/03/31/spotifys-lovehate-relationship-with-dns/
135,http://www.mattwarren.org/2017/11/28/Exploring-the-BBC-microbit-Software-Stack/
134,https://blog.acolyer.org/2017/11/20/dejavu-a-map-of-code-duplicates-on-github/
132,http://mattwarren.org/2017/02/07/The-68-things-the-CLR-does-before-executing-a-single-line-of-your-code/
132,http://mattwarren.org/2017/04/13/The-CLR-Thread-Pool-Thread-Injection-Algorithm/
132,http://tenderlovemaking.com/2017/09/27/visualizing-your-ruby-heap.html
131,http://aakinshin.net/en/blog/dotnet/mono-and-65535interfaces/
131,http://eli.thegreenplace.net/2017/adventures-in-jit-compilation-part-1-an-interpreter/
130,https://blog.filippo.io/playing-with-kernel-tls-in-linux-4-13-and-go/
130,https://facebook.github.io/react/blog/2017/06/13/react-v15.6.0.html
130,https://dave.cheney.net/2017/04/29/there-is-no-pass-by-reference-in-go
129,http://blog.klipse.tech/javascript/2016/12/14/jsx.html
128,https://jvns.ca/blog/2017/12/02/taking-a-sabbatical-to-work-on-ruby-profiling-tools/
128,https://blog.octo.com/en/webassembly-an-executable-format-for-the-web/
